タイトル,アーティスト,url,開始時刻,終了時刻,非表示,memo,upload_date
闇色アリス,samfree,https://www.youtube.com/shorts/Xi9ADUS_BPo,0,42,0,,2022/09/25
幽霊東京,ayase,https://www.youtube.com/shorts/E6wvQ7IVsL0,0,59,0,,2022/09/26
ラストリゾート,ayase,https://www.youtube.com/shorts/EfS_ZztC3P0,0,54,0,,2022/09/28
リンネ,ハチ,https://www.youtube.com/shorts/z4SaM8j_wrQ,0,53,0,,2022/09/29
ルーゲルダ,KulfiQ,https://www.youtube.com/shorts/zELl0JO78q8,0,53,0,,2022/09/30
レゾンデートル頂戴,YM,https://www.youtube.com/shorts/taUqjWedWVk,0,50,0,,2022/10/01
炉心融解,iroha,https://www.youtube.com/shorts/_wSHrhgSzrU,0,56,0,,2022/10/02
ワンダーランドと羊の歌,ハチ,https://www.youtube.com/shorts/tnJOQ6ndd_Q,0,57,0,,2022/10/03
ヲズワルド,煮ル果実,https://www.youtube.com/shorts/s2Xpis4Fo38,0,49,0,,2022/10/04
んっあっあっ,SLAVE.V-V-R,https://www.youtube.com/shorts/w2bfBuOInAk,0,45,0,,2022/10/05
Christmas Morgue,ハチ,https://www.youtube.com/shorts/l6gcolfEi34,0,58,0,,2022/12/24
Nyanyanyanyanyanyanya!,daniwell,https://www.youtube.com/shorts/6r82UVE7Wro,0,61,0,,2023/02/23
クーネル・エンゲイザー,電‡鯨,https://www.youtube.com/shorts/hQaAci8YSX8,0,23,0,,2023/05/13
可愛くてごめん,HoneyWorks,https://www.youtube.com/shorts/Tt1r4meDi98,0,27,0,,2023/05/20
約束をしよう,supercell,https://www.youtube.com/shorts/hfYDHvL_QvU,0,34,0,,2023/05/21
INTERNET YAMERO,Aiobahn,https://www.youtube.com/shorts/yUEkubyFRO4,0,21,0,,2023/06/03
おくすり飲んで寝よう,もちうつね,https://www.youtube.com/shorts/OPkxacOqQ1w,0,38,0,,2023/10/14
粛聖!! ロリ神レクイエム☆,しぐれうい,https://www.youtube.com/shorts/cFkLIE2ij6U,0,13,0,,2023/10/15
ももいろの鍵,いよわ,https://www.youtube.com/shorts/rJPvEF4Mfs4,0,14,0,,2023/10/20
人マニア,原口沙輔,https://www.youtube.com/shorts/Qv-G6k0V2IE,0,22,0,,2023/10/21
けーたいみしてよ,MAISONdes feat. はしメロ,https://www.youtube.com/shorts/PwSkny1LU0A,0,18,0,,2023/10/22
ボルテッカー,DECO*27,https://www.youtube.com/shorts/VG00W2nYaww,0,23,0,,2023/10/29
カルチャ,ツミキ,https://www.youtube.com/shorts/Qe2g5CPpVk4,0,13,0,,2023/11/12
すきっちゅーの,HoneyWorks,https://www.youtube.com/shorts/GpFGtbsBlNo,0,20,0,,2024/02/14
ベノム,かいりきベア,https://www.youtube.com/watch?v=yCPFhf7OYIc,7:34,650,1,音が混ざっているため,2022/07/02
酔いどれ知らず,kanaria,https://www.youtube.com/watch?v=yCPFhf7OYIc,13:56,975,0,,2022/07/02
マーシャルマキシマイザー,柊マグネタイト,https://www.youtube.com/watch?v=yCPFhf7OYIc,19:32,1331,0,,2022/07/02
帝国少女,R Sound Design,https://www.youtube.com/watch?v=yCPFhf7OYIc,26:15,1829,0,,2022/07/02
孤独の宗教,syudou,https://www.youtube.com/watch?v=yCPFhf7OYIc,35:28,2318,0,,2022/07/02
ミルククラウン・オン・ソーネチカ,ユジー,https://www.youtube.com/watch?v=yCPFhf7OYIc,41:49,2722,0,,2022/07/02
チュルリラ・チュルリラ・ダッダッダ！,和田たけあき(くらげP),https://www.youtube.com/watch?v=yCPFhf7OYIc,51:01,3254,0,,2022/07/02
神ぽいな,ピノキオピー,https://www.youtube.com/watch?v=MzKgUpU2whM,8:09,693,0,,2022/07/09
ビターチョコデコレーション,syudou,https://www.youtube.com/watch?v=MzKgUpU2whM,16:39,1238,0,,2022/07/09
キュートなカノジョ,syudou,https://www.youtube.com/watch?v=MzKgUpU2whM,28:50,1859,0,,2022/07/09
魔法少女とチョコレゐト,ピノキオピー,https://www.youtube.com/watch?v=MzKgUpU2whM,39:35,2560,0,,2022/07/09
エンヴィーベイビー,Kanaria,https://www.youtube.com/watch?v=MzKgUpU2whM,50:21,3155,0,,2022/07/09
晴天を穿つ,傘村トータ,https://www.youtube.com/watch?v=MzKgUpU2whM,57:17,3634,0,,2022/07/09
アイデンティティ,kanaria,https://www.youtube.com/watch?v=2VYYdYscXn4,9:08,699,0,,2022/07/16
あなたクランケン,tamon,https://www.youtube.com/watch?v=2VYYdYscXn4,18:06,1297,0,,2022/07/16
ヴァンパイア,DECO*27,https://www.youtube.com/watch?v=2VYYdYscXn4,29:09,1928,0,,2022/07/16
少女レイ,みきとP,https://www.youtube.com/watch?v=2VYYdYscXn4,38:32,2593,0,,2022/07/16
フォニイ,ツミキ,https://www.youtube.com/watch?v=2VYYdYscXn4,57:58,3665,0,,2022/07/16
マトリョシカ,HACHI,https://www.youtube.com/watch?v=2VYYdYscXn4,1:26:02,5360,0,,2022/07/16
アスノヨゾラ哨戒班,Orangestar,https://www.youtube.com/watch?v=2VYYdYscXn4,1:30:58,5521,0,,2022/07/16
天ノ弱,164,https://www.youtube.com/watch?v=2VYYdYscXn4,1:34:53,5879,0,,2022/07/16
Don't say lazy,桜高軽音部 (けいおん!!),https://www.youtube.com/watch?v=2VYYdYscXn4,1:41:02,6322,0,,2022/07/16
ハロ/ハワユ,ナノウ,https://www.youtube.com/watch?v=2VYYdYscXn4,1:48:44,6809,0,,2022/07/16
ファンサ,HoneyWorks,https://www.youtube.com/watch?v=2VYYdYscXn4,1:58:50,7211,0,,2022/07/16
フラジール,GUMI,https://www.youtube.com/watch?v=6urvlcXECLI,3:09,426,0,,2022/07/23
ECHO,Crusher,https://www.youtube.com/watch?v=6urvlcXECLI,23:04,1611,0,,2022/07/23
グリーンライツ・セレナーデ,Omoi,https://www.youtube.com/watch?v=6urvlcXECLI,37:07,2464,0,,2022/07/23
ドーナツホール,ハチ,https://www.youtube.com/watch?v=6urvlcXECLI,50:44,3248,0,,2022/07/23
そばかす,JUDY AND MARY,https://www.youtube.com/watch?v=6urvlcXECLI,1:00:02,3856,0,,2022/07/23
冒険でしょでしょ,平野綾,https://www.youtube.com/watch?v=6urvlcXECLI,1:20:06,5061,0,,2022/07/23
愛されなくても君がいる,ピノキオピー,https://www.youtube.com/watch?v=6urvlcXECLI,1:32:08,5801,0,,2022/07/23
きゅうくらりん,いよわ,https://www.youtube.com/watch?v=-D6kvhnzXX0,5:35,546,0,,2022/07/30
いーあーるふぁんくらぶ,みきとP,https://www.youtube.com/watch?v=-D6kvhnzXX0,20:00,1434,0,,2022/07/30
crack,Keeno,https://www.youtube.com/watch?v=-D6kvhnzXX0,35:00,2367,0,,2022/07/30
SuperDriver,平野綾,https://www.youtube.com/watch?v=-D6kvhnzXX0,56:22,3636,0,,2022/07/30
夏祭り,White berry,https://www.youtube.com/watch?v=-D6kvhnzXX0,1:04:34,4101,0,,2022/07/30
secret base〜君がくれたもの〜,ZONE,https://www.youtube.com/watch?v=-D6kvhnzXX0,1:17:24,4956,0,,2022/07/30
君じゃなきゃダメみたい,オーイシマサヨシ,https://www.youtube.com/watch?v=-D6kvhnzXX0,1:35:55,5985,0,,2022/07/30
メルト,supercell,https://www.youtube.com/watch?v=hY7NTy1s9DU,2:12,389,0,,2022/08/06
バレリーコ,みきと,https://www.youtube.com/watch?v=hY7NTy1s9DU,18:05,1330,0,,2022/08/06
God knows...,平野綾,https://www.youtube.com/watch?v=hY7NTy1s9DU,36:37,2474,0,,2022/08/06
恋愛勇者,LastNote.,https://www.youtube.com/watch?v=hY7NTy1s9DU,49:04,3212,0,,2022/08/06
星間飛行,中島愛,https://www.youtube.com/watch?v=hY7NTy1s9DU,56:35,3625,0,,2022/08/06
八月、某、月明かり,ヨルシカ,https://www.youtube.com/watch?v=hY7NTy1s9DU,1:05:59,4195,0,,2022/08/06
エイリアンエイリアン,ナユタン星人,https://www.youtube.com/watch?v=gri0ezel4hc,15:57,1134,0,,2022/08/20
パズル,クワガタP,https://www.youtube.com/watch?v=gri0ezel4hc,23:15,1647,0,,2022/08/20
セツナトリップ,Last note.,https://www.youtube.com/watch?v=gri0ezel4hc,46:51,3055,0,,2022/08/20
少女レイ,みきと,https://www.youtube.com/watch?v=gri0ezel4hc,53:27,3494,0,,2022/08/20
ハロ／ハワユ,ナノウ,https://www.youtube.com/watch?v=gri0ezel4hc,1:02:11,4008,0,,2022/08/20
君の知らない物語,supercell,https://www.youtube.com/watch?v=aqIK-ApMLfk,42:57,2918,0,,2022/08/26
地球最後の告白を,kemu,https://www.youtube.com/watch?v=aqIK-ApMLfk,59:45,3849,0,,2022/08/26
ストロボメモリー,内田真礼,https://www.youtube.com/watch?v=aqIK-ApMLfk,1:08:54,4417,0,,2022/08/26
フォニィ,ツミキ,https://www.youtube.com/watch?v=aqIK-ApMLfk,1:19:16,4942,0,,2022/08/26
ルージュの伝言,荒井由美,https://www.youtube.com/watch?v=aqIK-ApMLfk,2:01:52,7492,0,,2022/08/26
ダダダダ天使,ナナヲアカリ,https://www.youtube.com/watch?v=aqIK-ApMLfk,2:19:04,8560,0,,2022/08/26
取り柄のないクズだって生きてていいだろが,ヘルニア,https://www.youtube.com/watch?v=icsTe2cKCqM,13:32,1006,0,,2022/09/03
惨事のハニー,梨本うい,https://www.youtube.com/watch?v=icsTe2cKCqM,18:43,1439,0,,2022/09/03
オートファジー,柊キライ,https://www.youtube.com/watch?v=icsTe2cKCqM,27:33,1868,0,,2022/09/03
邪魔,syudou,https://www.youtube.com/watch?v=icsTe2cKCqM,34:22,2269,0,,2022/09/03
愛に奇術師,koyori,https://www.youtube.com/watch?v=icsTe2cKCqM,41:28,2723,0,,2022/09/03
フィクサー,ぬゆり,https://www.youtube.com/watch?v=icsTe2cKCqM,49:08,3190,0,,2022/09/03
キミナシビジョン,KulfiQ,https://www.youtube.com/watch?v=icsTe2cKCqM,55:33,3592,0,,2022/09/03
あとのまつり,Peg,https://www.youtube.com/watch?v=icsTe2cKCqM,1:10:00,4393,0,,2022/09/03
未完成人間,YM,https://www.youtube.com/watch?v=icsTe2cKCqM,1:17:16,4849,0,,2022/09/03
きゅうくらりん,いよわ,https://www.youtube.com/watch?v=lcvmIJOcKgw,24:55,1726,0,,2022/09/23
ド屑,なきそ,https://www.youtube.com/watch?v=lcvmIJOcKgw,45:00,2817,0,,2022/09/23
ネトゲ廃人シュプレヒコール,TENKOMORI,https://www.youtube.com/watch?v=lcvmIJOcKgw,54:33,3532,0,,2022/09/23
ぽっぴっぽー,ラマーズP,https://www.youtube.com/watch?v=lcvmIJOcKgw,1:07:39,4237,0,,2022/09/23
参月の雨,えこ。,https://www.youtube.com/watch?v=lcvmIJOcKgw,1:26:06,5443,0,,2022/09/23
LOVEずっきゅん,相対性理論,https://www.youtube.com/watch?v=lcvmIJOcKgw,2:17:21,8437,0,,2022/09/23
僕たちが恋をする理由,坂本真綾,https://www.youtube.com/watch?v=RY2Cche0o14,18:10,1422,0,,2022/09/30
カトラリー,有機酸,https://www.youtube.com/watch?v=RY2Cche0o14,37:30,2486,0,,2022/09/30
ETERNAL WIND〜ほほえみは光る風の中〜,森口博子,https://www.youtube.com/watch?v=RY2Cche0o14,55:43,3621,0,,2022/09/30
僕たちはひとつの光,μ's,https://www.youtube.com/watch?v=RY2Cche0o14,1:09:47,4478,0,,2022/09/30
メーベル,須田景凪,https://www.youtube.com/watch?v=RY2Cche0o14,1:31:05,5655,0,,2022/09/30
ORCA,小林オニキス,https://www.youtube.com/watch?v=RY2Cche0o14,1:50:10,6888,0,,2022/09/30
君が君が,baker,https://www.youtube.com/watch?v=RY2Cche0o14,1:58:48,7356,0,,2022/09/30
アカルイミライ,クワガタP,https://www.youtube.com/watch?v=OfDx9O8g6ko,16:40,1256,0,,2022/10/08
ヒト(リ)ゴト,KEI,https://www.youtube.com/watch?v=OfDx9O8g6ko,25:52,1818,0,,2022/10/08
クラウン,KuifiQ,https://www.youtube.com/watch?v=OfDx9O8g6ko,37:58,2527,0,,2022/10/08
ラビットフォーゲッツ,KNOTS,https://www.youtube.com/watch?v=OfDx9O8g6ko,49:52,3280,0,,2022/10/08
ジェヘナ,wotaku,https://www.youtube.com/watch?v=OfDx9O8g6ko,58:46,3771,0,,2022/10/08
ハロ／ハワユ,ナノウ,https://www.youtube.com/watch?v=OfDx9O8g6ko,1:07:11,4314,0,,2022/10/08
回る空うさぎ,Orangestar,https://www.youtube.com/watch?v=MLw6x7wgdqs,12:08,905,0,,2022/10/15
つきうさぎ,OSTER project,https://www.youtube.com/watch?v=MLw6x7wgdqs,20:32,1576,0,,2022/10/15
フラジール,ぬゆり,https://www.youtube.com/watch?v=MLw6x7wgdqs,45:45,3013,0,,2022/10/15
だから僕は音楽を辞めた,ヨルシカ,https://www.youtube.com/watch?v=MLw6x7wgdqs,59:03,3792,0,,2022/10/15
沙上の夢喰い少女,ハチ,https://www.youtube.com/watch?v=MLw6x7wgdqs,1:09:54,4430,0,,2022/10/15
Happy Halloween,Junky,https://www.youtube.com/watch?v=QlLo-8nX7gU,6:35,638,0,,2022/10/29
花の塔,さユり,https://www.youtube.com/watch?v=QlLo-8nX7gU,17:28,1323,0,,2022/10/29
Mrs.pumpkinの滑稽な夢,,https://www.youtube.com/watch?v=QlLo-8nX7gU,30:44,2096,0,,2022/10/29
fake town baby,UNISON SQUARE GARDEN,https://www.youtube.com/watch?v=QlLo-8nX7gU,47:30,3112,0,,2022/10/29
ヴァンパイア,DECO*27,https://www.youtube.com/watch?v=QlLo-8nX7gU,56:28,3567,0,,2022/10/29
トンデモワンダーズ,sasakure.UK,https://www.youtube.com/watch?v=QlLo-8nX7gU,1:10:32,4425,0,,2022/10/29
ラグトレイン,稲葉曇,https://www.youtube.com/watch?v=ne01NJyfD7o,20:08,1458,0,,2022/11/05
感情ディシーブ,ろーある,https://www.youtube.com/watch?v=ne01NJyfD7o,31:46,2026,0,,2022/11/05
うまぴょい伝説,ウマ娘さんたち,https://www.youtube.com/watch?v=ne01NJyfD7o,51:03,3326,0,,2022/11/05
メーベル,バルーン,https://www.youtube.com/watch?v=ne01NJyfD7o,1:37:26,6036,0,,2022/11/05
アンドロイドガール,DECO*27,https://www.youtube.com/watch?v=3CP1GJZaic8,13:15,1004,0,,2022/11/12
No logic,ジミーサムP,https://www.youtube.com/watch?v=3CP1GJZaic8,21:18,1534,0,,2022/11/12
サリシノハラ,みきとP,https://www.youtube.com/watch?v=3CP1GJZaic8,28:57,2006,0,,2022/11/12
ジャンキーナイトタウンオーケストラ,すりぃ,https://www.youtube.com/watch?v=3CP1GJZaic8,50:15,3228,0,,2022/11/12
幽霊東京,Ayase,https://www.youtube.com/watch?v=3CP1GJZaic8,1:09:54,4395,0,,2022/11/12
glow,Keeno,https://www.youtube.com/watch?v=6geh13OnWsw,3:30,490,0,,2022/11/19
夕日坂,Doriko,https://www.youtube.com/watch?v=6geh13OnWsw,12:59,1150,0,,2022/11/19
繰り返し一粒,猫虫,https://www.youtube.com/watch?v=6geh13OnWsw,30:14,2063,0,,2022/11/19
RIP=RELEASE,流星P,https://www.youtube.com/watch?v=6geh13OnWsw,40:47,2696,0,,2022/11/19
ヒネクレタシンプル,YM,https://www.youtube.com/watch?v=6geh13OnWsw,1:08:07,4266,0,,2022/11/19
アプリコット,いよわ,https://www.youtube.com/watch?v=_6mWT3dKdjU,11:09,872,0,,2022/11/26
フォニイ,ツミキ,https://www.youtube.com/watch?v=_6mWT3dKdjU,32:27,2133,0,,2022/11/26
ワンダーランドと羊の歌,ハチ,https://www.youtube.com/watch?v=_6mWT3dKdjU,43:28,2890,0,,2022/11/26
恋愛サーキュレーション,千石撫子,https://www.youtube.com/watch?v=_6mWT3dKdjU,1:11:33,4544,0,,2022/11/26
Snow halation,μ’s,https://www.youtube.com/watch?v=_6mWT3dKdjU,1:32:44,5818,0,,2022/11/26
シザーハンズ,Nem,https://www.youtube.com/watch?v=pabCqEbbZ0s,10:08,877,0,,2022/12/03
ガーネット,奥華子,https://www.youtube.com/watch?v=pabCqEbbZ0s,37:27,2561,0,,2022/12/03
少年よ我に帰れ,やくしまるえつこメトロオーケストラ,https://www.youtube.com/watch?v=pabCqEbbZ0s,56:33,3777,0,,2022/12/03
テレパステレパス,KNOTS,https://www.youtube.com/watch?v=EfApMATUE4w,26:30,1791,0,,2022/12/10
ギラギラ,Ado,https://www.youtube.com/watch?v=EfApMATUE4w,51:30,3361,0,,2022/12/10
シュガーソングとビターステップ,UNISON SQUARE GARDEN,https://www.youtube.com/watch?v=EfApMATUE4w,1:10:50,4501,0,,2022/12/10
ほうき星,ユンナ,https://www.youtube.com/watch?v=EfApMATUE4w,1:31:47,5702,0,,2022/12/10
ねむるまち,くじら,https://www.youtube.com/watch?v=95QjrBXm9rA,12:35,951,0,,2022/12/17
初音ミクの消失,CosMo@暴走P,https://www.youtube.com/watch?v=95QjrBXm9rA,38:47,2609,0,,2022/12/17
脳漿炸裂ガール,れるりり,https://www.youtube.com/watch?v=95QjrBXm9rA,49:36,3166,0,,2022/12/17
カゲロウデイズ,じん,https://www.youtube.com/watch?v=95QjrBXm9rA,55:22,3553,0,,2022/12/17
Overdose,なとり,https://www.youtube.com/watch?v=95QjrBXm9rA,1:08:00,4272,0,,2022/12/17
*ハロー、プラネット。,sasakure.UK,https://www.youtube.com/watch?v=95QjrBXm9rA,1:44:57,6596,0,,2022/12/17
クリスマスツリーを切り倒せ!,デッドボールP,https://www.youtube.com/watch?v=4SpAu62Dlz0,2:42,407,0,,2022/12/24
flos,R Sound Design,https://www.youtube.com/watch?v=4SpAu62Dlz0,18:03,1353,0,,2022/12/24
初めての恋が終わる時,supercell,https://www.youtube.com/watch?v=4SpAu62Dlz0,28:49,2042,0,,2022/12/24
くちづけDiamond,WEAVER,https://www.youtube.com/watch?v=4SpAu62Dlz0,43:02,2815,0,,2022/12/24
アスノヨゾラ哨戒班,Orangestar,https://www.youtube.com/watch?v=4SpAu62Dlz0,58:15,3668,0,,2022/12/24
夏祭り,WhiteBerry,https://www.youtube.com/watch?v=4SpAu62Dlz0,1:06:13,4199,0,,2022/12/24
from Y to Y,ジミーサムＰ,https://www.youtube.com/watch?v=4SpAu62Dlz0,1:15:57,4886,0,,2022/12/24
サイレント・イヴ,辛島美登里,https://www.youtube.com/watch?v=JdS5ZpPC5EM,1:52:03,7002,0,,2022/12/25
脱法ロック,Neru,https://www.youtube.com/watch?v=GJFhYERFv_U,23:00,1563,0,,2022/12/30
パジャミィ,いよわ,https://www.youtube.com/watch?v=GJFhYERFv_U,40:45,2638,0,,2022/12/30
1/2,川本真琴,https://www.youtube.com/watch?v=GJFhYERFv_U,59:49,3901,0,,2022/12/30
歩いて帰ろう,斉藤和義,https://www.youtube.com/watch?v=GJFhYERFv_U,1:15:46,4754,0,,2022/12/30
夜明けと蛍,n-buna,https://www.youtube.com/watch?v=GJFhYERFv_U,1:37:15,6141,0,,2022/12/30
アドバンス・アドベンチャー~Advance Adventure~,GARDEN,https://www.youtube.com/watch?v=GJFhYERFv_U,1:52:53,6861,0,,2022/12/30
ヒトリノ夜,ポルノグラフィティ,https://www.youtube.com/watch?v=GJFhYERFv_U,2:00:26,7472,0,,2022/12/30
ファンサ,HoneyWorks,https://www.youtube.com/watch?v=KLb9i5nxJ6M,29:14,2003,0,,2023/01/07
アニマル,DECO*27,https://www.youtube.com/watch?v=KLb9i5nxJ6M,41:37,2648,0,,2023/01/07
さようなら、花泥棒さん,メル,https://www.youtube.com/watch?v=KLb9i5nxJ6M,51:22,3349,0,,2023/01/07
ひねくれ者,supercell(アカペラ),https://www.youtube.com/watch?v=KLb9i5nxJ6M,1:12:24,4552,0,,2023/01/07
異星にいこうね,いよわ,https://www.youtube.com/watch?v=KLb9i5nxJ6M,1:21:58,5084,0,,2023/01/07
乾涸びたバスひとつ,米津玄師,https://www.youtube.com/watch?v=y321oU0QBs0,6:17,676,0,,2023/01/14
ワールドイズマイン,ryo,https://www.youtube.com/watch?v=y321oU0QBs0,16:11,1223,0,,2023/01/14
chocolate insomnia,羽川翼(CV.堀江由衣),https://www.youtube.com/watch?v=y321oU0QBs0,35:15,2388,0,,2023/01/14
君のせい,the peggies,https://www.youtube.com/watch?v=y321oU0QBs0,48:00,2975,0,,2023/01/14
約束をしよう,supercell,https://www.youtube.com/watch?v=y321oU0QBs0,1:01:00,3852,0,,2023/01/14
Nyanyanyanyanyanyanya!,daniwell,https://www.youtube.com/watch?v=tcrmT79Je5U,23:00,1600,1,(アカペラ)※BGM入れ忘れた※,2023/01/28
ギブス,椎名林檎,https://www.youtube.com/watch?v=tcrmT79Je5U,45:43,3074,0,,2023/01/28
メルト,supercell,https://www.youtube.com/watch?v=tcrmT79Je5U,1:08:25,4363,0,,2023/01/28
君の知らない物語,supercell,https://www.youtube.com/watch?v=M-BFrjf_BjQ,16:50,1347,0,,2023/02/04
創世のアクエリオン,AKINO,https://www.youtube.com/watch?v=M-BFrjf_BjQ,31:00,2140,0,,2023/02/04
コネクト,ClariS,https://www.youtube.com/watch?v=M-BFrjf_BjQ,39:30,2636,0,,2023/02/04
only my railgun,FripSide,https://www.youtube.com/watch?v=M-BFrjf_BjQ,51:40,3349,0,,2023/02/04
ブルーバード,いきものがかり,https://www.youtube.com/watch?v=M-BFrjf_BjQ,1:00:10,3821,0,,2023/02/04
lost my music,平野綾,https://www.youtube.com/watch?v=M-BFrjf_BjQ,1:07:22,4295,0,,2023/02/04
Butter-fly,和田光司,https://www.youtube.com/watch?v=M-BFrjf_BjQ,1:20:24,5079,0,,2023/02/04
好き！雪！本気マジック,Mitchie M,https://www.youtube.com/watch?v=z-94pKEwE3o,8:54,731,0,,2023/02/11
Dear,19's Sound Factory,https://www.youtube.com/watch?v=z-94pKEwE3o,17:40,1326,0,,2023/02/11
夜明けと蛍,N-buna,https://www.youtube.com/watch?v=z-94pKEwE3o,27:33,1960,0,,2023/02/11
花の塔,さユり,https://www.youtube.com/watch?v=z-94pKEwE3o,50:12,3287,0,,2023/02/11
KICK BACK,米津玄師,https://www.youtube.com/watch?v=z-94pKEwE3o,1:14:20,4652,0,,2023/02/11
メランコリック,Junky,https://www.youtube.com/watch?v=z-94pKEwE3o,1:22:39,5175,0,,2023/02/11
おくすり飲んで寝よう,もちうつね,https://www.youtube.com/watch?v=TItBVPlCiPc,40:15,2601,0,,2023/02/18
＊ハロー、プラネット。,sasakure.UK,https://www.youtube.com/watch?v=TItBVPlCiPc,47:49,3168,0,,2023/02/18
ビターチョコデコレーション,syudou,https://www.youtube.com/watch?v=TItBVPlCiPc,56:48,3603,0,,2023/02/18
シャンティ,wotaku,https://www.youtube.com/watch?v=TItBVPlCiPc,1:10:46,4407,0,,2023/02/18
ソラニン,ASIAN KUNG-FU GENERATION,https://www.youtube.com/watch?v=TItBVPlCiPc,1:22:35,5224,0,,2023/02/18
